자동차등록번호,운행기록장치모델명,TRIP운행거리,누적운행거리,평균운행속도,최고속도,TRIP운행시간,장기운행유무,운행중정지건수,운행중주행시간,최고RPM,평균RPM,급가속건수,급출발건수,급감속건수,급정지건수,급좌회전건수,급우회전건수,급유턴건수,급앞지르기건수,급진로변경건수
1149,"DT-202,5.07.15",310,445963,18.21,59,61299,1,784,45001,1640,932,2,0,0,1,16,4,0,1,13
1150,"DT-201A,4.04.54,K",248,481734,15.85,59,56343,1,744,40112,1560,772,0,0,0,0,12,3,1,0,9
1151,"DT-202,5.07.15",149,231924,15.96,61,33607,1,425,23872,1795,674,0,0,0,0,11,3,0,1,39
1152,"DT-202,6.01.12",242,47898,16.18,54,53846,1,683,39231,1325,637,0,0,0,0,9,2,0,0,15
1153,"DT-201A,4.04.54,K",252,435150,16.28,56,55738,1,707,39527,1680,769,0,0,0,2,19,8,5,0,7
1154,"DT-202,6.01.21",51,10468,16.61,49,11053,1,134,8470,1486,676,0,0,0,0,0,0,0,0,6
1155,"DT-202,5.07.16",254,68365,16.16,60,56592,1,699,40525,1800,778,0,0,0,0,17,7,0,0,13
1156,"DT-202,6.01.39",295,1785,16.62,57,63883,1,880,43738,1448,660,0,0,0,0,10,8,0,0,25
1157,"DT-202,6.01.39",248,4420,16.65,54,53632,1,701,39759,1432,625,0,0,0,0,18,4,1,0,19
1158,"DT-202,6.01.39",248,4573,16.82,57,53067,1,647,37902,1540,700,0,0,1,0,15,2,1,0,24
